archivo,escenario,grupo,n_flows,auc_if,auc_ae,det_if,det_ae,blk_if,blk_ae,ambos_block,ambos_limit,ambos_permit,solo_if,solo_ae
20260602_anom_bruteforce_01_eve.json.gz,bruteforce_01,B,2061,0.9727,0.9649,99.9,98.98,35.32,55.17,1,176,2,19,0
20260602_anom_httpabuse_01_eve.json.gz,httpabuse_01,B,13889,0.9545,0.9516,95.74,94.12,13.54,71.42,51,1139,408,409,184
20260602_anom_icmpflood_01_eve.json.gz,icmpflood_01,B,23460,0.916,0.9966,100.0,100.0,0.0,99.99,1,2,0,0,0
20260602_anom_portscan_01_eve.json.gz,portscan_01,B,3258,0.8351,0.9901,100.0,100.0,3.78,72.99,109,866,0,0,0
20260602_anom_synflood_01_eve.json.gz,synflood_01,B,95393,0.8815,0.9517,100.0,99.56,14.2,50.88,634,33523,0,417,0
20260602_anom_udpflood_01_eve.json.gz,udpflood_01,B,18168,0.9579,0.9881,100.0,100.0,0.0,93.03,0,1267,0,0,0
20260603_anom_bruteforce_01_eve.json.gz,bruteforce_01,B,100000,0.8252,0.9863,99.69,99.57,1.32,94.87,67,3351,225,209,89
20260615_anom_bruteforce_01_eve.json.gz,bruteforce_01,B,4824,0.9728,0.9036,100.0,96.81,58.21,0.85,31,1852,0,154,0
20260615_anom_httpabuse_01_eve.json.gz,httpabuse_01,B,36902,0.9749,0.9111,100.0,96.41,64.79,0.28,92,11656,0,1324,0
20260615_anom_icmpflood_01_eve.json.gz,icmpflood_01,B,100000,0.8955,0.9996,100.0,100.0,0.06,99.9,64,101,0,0,0
20260615_anom_portscan_01_eve.json.gz,portscan_01,B,100000,0.9508,0.9918,100.0,100.0,65.56,66.34,65562,33664,0,0,0
20260615_anom_synflood_01_eve.json.gz,synflood_01,B,330,0.9515,0.8287,100.0,98.48,3.64,4.85,12,309,0,5,0
20260615_anom_udpflood_01_eve.json.gz,udpflood_01,B,100000,0.9623,0.9883,100.0,100.0,0.0,95.87,0,4128,0,0,0
